,m1,m2,m3,m4,m5,m6,m7,p-p-t
123,0.0021277175606160947,2.854068471947834e-06,6.3149392348037064e-09,4.110878070548836e-09,2.0661096435634248e-17,6.943581550895671e-12,3.4386737020182744e-18,papel
124,0.0021238231706847102,3.065897820411711e-06,5.894896393841951e-09,4.707117283614049e-09,2.4789774910668706e-17,8.175644295638878e-12,5.2678420553618455e-19,papel
125,0.002126879281302209,3.071760969825313e-06,5.803425770971771e-09,4.5810233637882015e-09,2.361436001159178e-17,7.961235210763626e-12,5.310670739335965e-19,papel
126,0.00212219105853911,3.0533060360578976e-06,5.73411646794749e-09,4.578550622215523e-09,2.3453223839118476e-17,7.932770608237595e-12,5.576660251156389e-19,papel
127,0.0021449083252766217,3.1157509422055563e-06,5.784421817348265e-09,4.692572620229928e-09,2.442355610791916e-17,8.222446530876129e-12,1.0969347721463257e-18,papel
128,0.002147212595571148,3.075391333639689e-06,6.3427581151798015e-09,4.6630612501094325e-09,2.5255622777023793e-17,8.15939877392084e-12,2.2962510586196544e-18,papel
129,0.0021194091375678144,2.7971091186587457e-06,6.364625505993174e-09,4.113915750600694e-09,2.0748738436461456e-17,6.878757518331185e-12,3.553575129388626e-18,papel
130,0.002156369624792615,2.981728848607433e-06,6.928255693566222e-09,4.561942806206719e-09,2.5325338828040833e-17,7.876329729007006e-12,4.049226409893099e-18,papel
131,0.0021743947991063233,3.0605651635004935e-06,6.797528989954038e-09,4.544060842750689e-09,2.492372035950639e-17,7.94622369661027e-12,4.075125272279223e-18,papel
132,0.0022304881621873995,3.348337765684677e-06,7.753718382166678e-09,5.212774202274879e-09,3.2705839734045076e-17,9.538404346628638e-12,5.3495209435069724e-18,papel
133,0.0021479684503596564,2.9562024310056368e-06,6.826390012476975e-09,4.509209544202178e-09,2.469622794768879e-17,7.748652527869733e-12,3.997269575921539e-18,papel
134,0.002140289267890344,3.005097300103821e-06,6.040466163943632e-09,4.3130255579025694e-09,2.1918743137150062e-17,7.457654379505977e-12,2.050775631264428e-18,papel
135,0.0021639280395423697,3.016391319692465e-06,6.574259220529906e-09,4.379402956914449e-09,2.320180782497692e-17,7.605865650050973e-12,3.724236684671297e-18,papel
136,0.0021503606045094143,3.04281801959715e-06,6.265925160001722e-09,4.526708178608415e-09,2.399332144895515e-17,7.877185176540604e-12,2.3515986521982184e-18,papel
137,0.0021145584134352117,3.0217661705998665e-06,5.397080363004504e-09,4.311245905535324e-09,2.0789942367745607e-17,7.43533081763982e-12,5.094431861192124e-19,papel
138,0.002128441581317669,3.0787933097047105e-06,5.630862137822165e-09,4.480257388587665e-09,2.2496911669834236e-17,7.79954814561516e-12,5.266991827747678e-19,papel
139,0.002122559272254615,2.8471195546127545e-06,6.263015664559324e-09,4.067834522483202e-09,2.0269206125104634e-17,6.861563881567387e-12,3.2760967503627407e-18,papel
140,0.002140900765757479,2.9079034183828378e-06,6.615841094654835e-09,4.360372540884126e-09,2.3119233272324867e-17,7.435044748698489e-12,3.7382898606540434e-18,papel
141,0.0021438190730635118,2.9251644127340235e-06,6.416375111234201e-09,4.226901158191738e-09,2.1736816314417103e-17,7.22741143512588e-12,3.475666574928911e-18,papel
142,0.0021764328014401337,3.069229320493513e-06,6.618347718801129e-09,4.3750216523472745e-09,2.324761921100978e-17,7.663517376545543e-12,3.711929272173987e-18,papel
143,0.0021295671038227574,2.838195266118554e-06,6.481001910875255e-09,4.218194193156969e-09,2.176502941747827e-17,7.1040511321432095e-12,3.5658353264006764e-18,papel
144,0.002120709162070098,2.804806647297189e-06,6.374948414273471e-09,4.119432637846299e-09,2.081697966852693e-17,6.898144797573002e-12,3.5068799338050274e-18,papel
145,0.0021486516784116525,2.9315900217962924e-06,6.384943382554226e-09,4.1915458789635004e-09,2.1393480788685137e-17,7.173882358970732e-12,3.537773033231468e-18,papel
146,0.002165669461854425,3.011966667803018e-06,6.361965189451733e-09,4.178782331330536e-09,2.127183772639952e-17,7.251780174938085e-12,3.4273547616215652e-18,papel
147,0.002178274876461288,3.0623251302783755e-06,6.52941900962957e-09,4.335762669010162e-09,2.2758930835107513e-17,7.587094088792812e-12,3.77178727076584e-18,papel
148,0.0021198768181845376,2.7966281142258306e-06,8.179788501270748e-09,5.104155062264617e-09,3.2509956879156957e-17,8.516639325129382e-12,5.551039223646165e-18,papel
149,0.002154412304580929,2.9494585207510253e-06,6.530437409875151e-09,4.27042556432466e-09,2.2241215668280396e-17,7.332606611983213e-12,3.728831368347479e-18,papel
150,0.002124626695555418,2.8157539807737444e-06,6.416815321230361e-09,4.119002191265624e-09,2.0879036672417836e-17,6.91038267487944e-12,3.535082545279956e-18,papel
151,0.0021555829089564956,2.959932449949488e-06,6.58817987711752e-09,4.318630581767565e-09,2.2722935740059798e-17,7.428363419974476e-12,3.783203453645341e-18,papel
152,0.0021231752285568338,2.8486187098958806e-06,6.203283651422186e-09,4.070877475813019e-09,2.0190932550381168e-17,6.868925218215586e-12,3.288900786486156e-18,papel
153,0.0021344837375355365,2.850743330627091e-06,6.404146688875772e-09,4.167145672606749e-09,2.1210294828379033e-17,7.033521040049713e-12,3.680504007615382e-18,papel
154,0.002156827316470876,2.9648959277703683e-06,6.696008893169701e-09,4.4291428749152594e-09,2.3817677564318156e-17,7.621952283151413e-12,3.810521889056374e-18,papel
155,0.002147672605237071,2.9593318787872477e-06,6.355628021940823e-09,4.164273872933116e-09,2.1149320197765637e-17,7.161457029334145e-12,3.4158200093474557e-18,papel
156,0.002175358023540741,3.023349858681981e-06,6.5796309447301645e-09,4.291819562860584e-09,2.2506670194323037e-17,7.459090296928487e-12,3.687351227734298e-18,papel
